Interval,EMA_alpha,EMA_beta,RSI_alpha,RSI_beta,EMA_posterior,RSI_posterior,EMA_interval_profit,RSI_interval_profit,EMA_cum_profit,RSI_cum_profit,EMA_posterior_return,RSI_posterior_return,EMA_ppd_var,RSI_ppd_var
22,461.6910439178679,463.01078116007886,407.1341693580728,357.430177494771,0.499286398487372,0.5325047800540904,0.0,-0.006492215100230354,0.14013364363695002,0.5872640751184406,0.0005228867299886181,0.00257571962771246,0.0004014925373134329,0.0004017543859649123
23,495.56629619972455,495.07440878314816,422.2694029094676,374.1843713149389,0.5002482673153356,0.5301869569526205,0.018116246587874224,-0.016189602687731453,0.15824989022482425,0.5710744724307091,0.0005533212944923914,0.002409596930087381,0.0004013986013986014,0.0004016877637130802
24,527.8381896493753,529.6204577683017,445.3930985716363,394.06365493290804,0.49915728708480533,0.5305730125015012,-0.022741555355027934,0.0324441204419955,0.1355083348697963,0.6035185928727046,0.0004457511015453817,0.0024335427131963907,0.00040131578947368425,0.00040161290322580646
25,537.5505936575851,552.1718948646009,457.4529897456327,407.37767644358894,0.49329127307134674,0.5289509352869591,-0.12839033088089466,-0.012541303366845866,0.007118003988901639,0.5909772895058587,2.2741226801602057e-05,0.002308505037132261,0.00040127795527156553,0.0004015625
26,544.8432385273857,564.2361797442695,471.344745112077,417.6919640593261,0.49125719001840956,0.5301746713601715,-0.047716400098682325,0.035774677507071195,-0.040598396109780686,0.6267519670129299,-0.00012686998784306513,0.002374060481109584,0.00040125,0.0004015151515151515
27,582.6221666713346,590.6797204236389,487.99436483793244,433.81777854405016,0.4965662913181473,0.5293859148432982,0.13362523572922225,0.00523805241131301,0.09302683961944155,0.6319900194242429,0.00027360835182188613,0.0022981455251790653,0.0004011764705882353,0.0004014545454545455
28,609.0438641484769,612.0906183570906,503.54553824698104,451.5830561618083,0.4987524903062428,0.5272018251727333,0.05010799543690281,-0.022141042087095955,0.14313483505634436,0.6098489773371469,0.0004054811191397849,0.0021398209731127967,0.0004011331444759207,0.00040140350877192985
29,632.7003474681541,637.880012694723,527.1106771788826,475.3653971530849,0.4979616931801524,0.5258087356649782,-0.02132911017955311,-0.0021720205937510936,0.12180572487679125,0.6076769567433958,0.0003309938175999754,0.0020391844186019993,0.00040108695652173914,0.00040134228187919464
30,650.7914687653418,660.6179840574987,541.1649038023529,495.43871458049966,0.49625345262267057,0.5220557734947849,-0.04646850065588065,-0.060190908039443825,0.0753372242209106,0.547486048703952,0.00019721786445264474,0.0017717995103687762,0.0004010471204188482,0.00040129449838187707
31,657.8299816173218,672.9705140593223,564.372073197793,512.3373821846023,0.49431149428814186,0.5241637568765989,-0.0531401714984369,0.06308501791337554,0.0221970527224737,0.6105710666173275,5.73567253810683e-05,0.0019080345831791483,0.00040103359173126617,0.00040125
32,693.3729665654865,700.2892542242704,588.2321567840232,529.835598306396,0.49751866429483016,0.5261149461701919,0.08224244783216605,0.06361867464436513,0.10443950055463976,0.6741897412616926,0.00025660810947085845,0.002024593817602681,0.000400982800982801,0.0004012012012012012
33,715.342380561601,722.7546422980136,607.0084257696924,548.5647089218626,0.49742289232972836,0.5252877620175159,-0.0049597407762880545,0.0004715837020259554,0.0994797597783517,0.6746613249637186,0.0002351767370646603,0.0019442689480222448,0.0004009456264775414,0.0004011527377521614
34,715.342380561601,722.7546422980136,623.282530012737,560.8350930193153,0.49742289232972836,0.5263687642928236,0.0,0.04003720145592009,0.0994797597783517,0.7146985264196386,0.0002351767370646603,0.002007580130392245,0.0004009456264775414,0.000401123595505618
35,738.1868160411101,742.8721974798638,639.73872396419,574.0298340749853,0.49841823269836666,0.5270681298563856,0.02726880297658939,0.03261452895783068,0.1267485627549411,0.7473130553774693,0.0002893802802624216,0.0020418389491187695,0.00040091324200913244,0.0004010928961748634
36,767.9682406570713,767.4094869056021,658.1745880384107,589.7504481251511,0.5001819597032829,0.5274151643449725,0.05244135190222943,0.027152500240550312,0.17918991465717052,0.7744655556180196,0.00039124435514665954,0.002043444737778417,0.0004008733624454149,0.00040105540897097627
37,789.8805743100653,782.4361287253009,669.5599911530408,600.1053313948514,0.5023673492657023,0.5273515620710234,0.0688569183329527,0.010305198449299576,0.2480468329901232,0.7847707540673191,0.0005266387112316831,0.002022605036255979,0.0004008492569002123,0.00040103092783505155
